suburb,postcode,state_code,local_government_area,reason
Grass Flat,3409,VIC,Horsham (Rural City),"Locality absent from the ABS SSC 2016 reference; sits within Horsham RC near Natimuk"
Arapiles,3409,VIC,Horsham (Rural City),"Locality absent from the ABS SSC 2016 reference; sits within Horsham RC near Natimuk"
